API Name,Category,Content-Type,Endpoint,Main Fields,Main Response,Method,Purpose
로봇 상태 업로드,Robot → Backend,application/json,/api/robots/{robotId}/status,"status, battery, x, y, address, nextDestination, velocity, timestamp","success, robotId",POST,"로봇 현재 상태, 위치, 배터리 업로드"
빈집 정비 우선순위 분석 요청,Backend → Agent,application/json,/agent/maintenance/analyze,"jobId, callbackUrl, area, vacantHouses, populationData, recentEvents","accepted, jobId",POST,빈집/인구/이벤트 기반 정비 우선순위 분석 요청
이미지 이상 탐지 요청,Backend → Agent,application/json,/agent/anomaly/analyze-image,"jobId, callbackUrl, robotId, imageId, imageUrl, x, y, address, timestamp","accepted, jobId",POST,카메라 이미지 기반 이상 상황 탐지 요청
재건축 추천 요청,Backend → Agent,application/json,/agent/reconstruction/recommend,"jobId, callbackUrl, houseId, address, riskLevel, agingRate, accessibility, populationContext, beforeImageUrl","accepted, jobId",POST,특정 빈집 재건축 용도/규모/이미지 추천 요청
로봇 카메라 이미지 업로드,Robot → Backend,multipart/form-data,/api/robots/{robotId}/image,"image, x, y, address, timestamp","success, robotId, imageId, imageUrl, analysisJobId",POST,로봇별 카메라 이미지 업로드 및 이상 탐지 요청
로봇 라이다 업로드,Robot → Backend,multipart/form-data,/api/robots/{robotId}/lidar,"lidarFile, x, y, timestamp","success, robotId, lidarId, lidarFileUrl, previewImageUrl, summary",POST,로봇별 라이다 NumPy 배열 업로드 후 백엔드에서 Preview/정량 summary 생성
통합 대시보드 조회,Front → Backend,-,/api/dashboard,selectedRobotId(query),"weather, robots[].latestImage, robots[].latestLidar.previewImageUrl, robots[].latestLidar.summary, robots[].patrolPath, vacantHouseMap, maintenancePriorities, reconstruction, urgentEvent, stats",GET,대시보드 전체 데이터 조회
재건축 추천 결과 전달,Agent → Backend,application/json,/api/agent/reconstruction-results,"jobId, houseId, recommendedUse, buildingScale, style, estimatedCost, expectedReturn, feasibility, reason, images","success, houseId",POST,재건축 추천 결과 저장
빈집 정비 우선순위 조회,Front → Backend,-,/api/maintenance,-,"rank, houseId, address, riskLevel, agingRate, accessibility, score, recommendedUse, reason",GET,정비 우선순위 목록 조회
특정 로봇 대시보드 조회,Front → Backend,-,/api/dashboard/robots/{robotId},robotId(path),"robot, latestImage, latestLidar.previewImageUrl, latestLidar.summary, patrolPath, events",GET,선택 로봇의 이미지/라이다/경로/이벤트 조회
정비 우선순위 분석 실행,Front → Backend,application/json,/api/maintenance/analyze,area,"success, jobId, message",POST,정비 우선순위 분석 작업 실행
이상 탐지 결과 전달,Agent → Backend,application/json,/api/agent/anomaly-results,"jobId, analysisId, robotId, imageId, eventType, severity, confidence, summary, detectedObjects","success, eventId",POST,이미지 분석 결과를 백엔드에 저장
정비 우선순위 결과 전달,Agent → Backend,application/json,/api/agent/maintenance-results,"jobId, analysisId, recommendations","success, analysisId, savedCount",POST,정비 우선순위 분석 결과 저장
이벤트 목록 조회,Front → Backend,-,/api/events,"robotId, eventType, severity, resolved, limit(query)","eventId, robotId, eventType, severity, summary, confidence, imageUrl, resolved",GET,이상 탐지/실종자 후보/경고 이벤트 목록 조회
이벤트 처리 완료,Front → Backend,application/json,/api/events/{eventId}/resolve,memo,"success, eventId, resolved",POST,이벤트 확인 완료 처리
